CODI_MUNICIPI;DESC_MUN_REDUIDA;
08001;Abrera;{'08001','Abrera'},
08002;Aguilar de Segarra;{'08002','Aguilar de Segarra'},
08003;Alella;{'08003','Alella'},
08004;Alpens;{'08004','Alpens'},
08005;Ametlla del Vallès, L\';{'08005','Ametlla del Vallès, L\''},
08006;Arenys de Mar;{'08006','Arenys de Mar'},
08007;Arenys de Munt;{'08007','Arenys de Munt'},
08008;Argençola;{'08008','Argençola'},
08009;Argentona;{'08009','Argentona'},
08010;Artés;{'08010','Artés'},
08011;Avià;{'08011','Avià'},
08012;Avinyó;{'08012','Avinyó'},
08013;Avinyonet del Penedès;{'08013','Avinyonet del Penedès'},
08014;Aiguafreda;{'08014','Aiguafreda'},
08015;Badalona;{'08015','Badalona'},
08016;Bagà;{'08016','Bagà'},
08017;Balenyà;{'08017','Balenyà'},
08018;Balsareny;{'08018','Balsareny'},
08019;Barcelona;{'08019','Barcelona'},
08020;Begues;{'08020','Begues'},
08021;Bellprat;{'08021','Bellprat'},
08022;Berga;{'08022','Berga'},
08023;Bigues i Riells;{'08023','Bigues i Riells'},
08024;Borredà;{'08024','Borredà'},
08025;Bruc, El;{'08025','Bruc, El'},
08026;Brull, El;{'08026','Brull, El'},
08027;Cabanyes, Les;{'08027','Cabanyes, Les'},
08028;Cabrera d\'Anoia;{'08028','Cabrera d\'Anoia'},
08029;Cabrera de Mar;{'08029','Cabrera de Mar'},
08030;Cabrils;{'08030','Cabrils'},
08031;Calaf;{'08031','Calaf'},
08032;Caldes d\'Estrac;{'08032','Caldes d\'Estrac'},
08033;Caldes de Montbui;{'08033','Caldes de Montbui'},
08034;Calders;{'08034','Calders'},
08035;Calella;{'08035','Calella'},
08036;Calonge de Segarra;{'08036','Calonge de Segarra'},
08037;Calldetenes;{'08037','Calldetenes'},
08038;Callús;{'08038','Callús'},
08039;Campins;{'08039','Campins'},
08040;Canet de Mar;{'08040','Canet de Mar'},
08041;Canovelles;{'08041','Canovelles'},
08042;Cànoves i Samalús;{'08042','Cànoves i Samalús'},
08043;Canyelles;{'08043','Canyelles'},
08044;Capellades;{'08044','Capellades'},
08045;Capolat;{'08045','Capolat'},
08046;Cardedeu;{'08046','Cardedeu'},
08047;Cardona;{'08047','Cardona'},
08048;Carme;{'08048','Carme'},
